#GeneName      	AdrenalGland	BoneMarrow	Breast	Bronchus	Cerebellum	CerebralCortex	CervixUterine	Colon	Duodenum	Endometrium	Epididymis	Esophagus	FallopianTube	GallBladder	HeartMuscle	HippocampalFormation	Kidney	Liver	Lung	LymphNode	Nasopharynx	OralMucosa	Ovary	Pancreas	ParathyroidGland	Placenta	ProstateGland	Rectum	SalivaSecretingGland	SeminalVesicle	SkeletalMuscleTissue	SmallIntestine	SmoothMuscleTissue	SoftTissue	Spleen	Stomach	TelencephalicVentricle	Testis	ThyroidGland	Tonsil	UrinaryBladder	Vagina	VermiformAppendix
A1BG           	           0	         0	     0	       0	         0	             0	            0	    0	       0	          0	         0	        0	            0	          0	          1	                   0	     0	    0	   0	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                0
A1CF           	           2	         0	     2	       1	         1	             0	            0	    2	       2	          0	         0	        0	            0	          2	          2	                   0	     2	    2	   0	        0	          1	         0	    0	       2	               0	       0	            0	     2	                   0	             0	                   0	             2	                 1	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                2
A2M            	           0	         0	     0	       0	         0	             1	            0	    1	       0	          0	         0	        0	            0	          0	          0	                   0	     0	    2	   0	        0	          0	         0	    0	       0	               0	       1	            0	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                0
A2ML1          	           0	         0	     0	       0	         0	             0	            3	    0	       0	          0	         0	        3	            0	          0	          0	                   0	     0	    0	   0	        0	          0	         3	    0	       0	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     0	           0	     2	             1	     3	                0
A4GNT          	           0	         0	     0	       0	         2	             2	            0	    0	       0	          0	         0	        0	            0	          0	          1	                   0	     0	    2	   0	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                0
AACS           	           3	         0	     3	       3	         2	             2	            3	    3	       3	          0	         3	        3	            2	          3	          2	                   1	     3	    1	   2	        2	          3	         3	    1	       3	               2	       2	            2	     3	                   3	             3	                   2	             3	                 0	         0	     1	      0	                     2	     3	           2	     3	             3	     3	                2
AADAT          	           3	         2	     2	       0	         2	             2	            1	    3	       3	          0	         2	        1	            1	          2	          2	                   1	     3	    3	   2	        2	          2	         1	    1	       2	               2	       2	            2	     3	                   2	             2	                   1	             3	                 1	         0	     1	      0	                     1	     3	           2	     2	             2	     1	                3
AAGAB          	           3	         2	     3	       3	         2	             2	            3	    3	       3	          0	         2	        3	            3	          3	          2	                   2	     3	    3	   2	        3	          2	         2	    1	       3	               3	       3	            3	     3	                   2	             3	                   1	             3	                 2	         0	     3	      0	                     2	     3	           3	     3	             3	     2	                3
AAMDC          	           3	         0	     1	       1	         2	             0	            0	    1	       1	          0	         1	        0	            2	          0	          2	                   0	     1	    0	   0	        0	          1	         0	    1	       1	               0	       0	            1	     1	                   0	             1	                   1	             0	                 1	         0	     0	      0	                     0	     3	           1	     0	             1	     0	                1
AAMP           	           2	         1	     3	       3	         2	             3	            2	    3	       2	          0	         2	        1	            2	          2	          1	                   2	     2	    2	   3	        2	          3	         2	    3	       2	               2	       2	            1	     2	                   2	             2	                   0	             2	                 3	         0	     1	      0	                     2	     2	           2	     2	             1	     1	                2
AARS           	           2	         2	     2	       2	         2	             2	            2	    3	       2	          0	         1	        2	            2	          2	          1	                   2	     2	    2	   2	        2	          2	         2	    2	       3	               1	       1	            1	     3	                   2	             3	                   1	             2	                 1	         0	     2	      0	                     2	     3	           2	     2	             1	     2	                2
AARS2          	           3	         2	     3	       3	         3	             2	            3	    3	       3	          0	         2	        3	            3	          3	          3	                   2	     3	    2	   2	        3	          3	         2	    3	       3	               2	       3	            2	     3	                   2	             3	                   2	             3	                 2	         0	     2	      0	                     2	     3	           3	     3	             3	     2	                3
AARSD1         	           1	         1	     1	       2	         1	             1	            1	    2	       2	          0	         1	        1	            2	          1	          0	                   0	     1	    0	   1	        1	          1	         1	    2	       2	               1	       2	            1	     2	                   0	             0	                   0	             1	                 0	         0	     0	      0	                     1	     3	           2	     2	             1	     1	                1
AASDHPPT       	           2	         1	     2	       1	         1	             3	            0	    2	       2	          0	         2	        2	            2	          2	          1	                   1	     2	    0	   1	        2	          1	         1	    1	       2	               1	       2	            2	     2	                   0	             2	                   0	             2	                 0	         0	     0	      0	                     0	     3	           2	     2	             2	     0	                2
AASS           	           2	         1	     1	       2	         1	             1	            1	    1	       1	          0	         1	        1	            1	          2	          2	                   1	     3	    3	   2	        0	          2	         1	    1	       2	               1	       2	            2	     1	                   1	             2	                   1	             1	                 1	         0	     0	      0	                     1	     2	           1	     1	             2	     1	                1
ABAT           	           2	         0	     1	       2	         3	             2	            0	    2	       3	          0	         1	        1	            1	          3	          0	                   2	     3	    3	   0	        1	          2	         0	    0	       3	               2	       1	            3	     2	                   1	             2	                   0	             2	                 0	         0	     1	      0	                     3	     2	           3	     1	             2	     1	                2
ABCA1          	           2	         1	     2	       2	         0	             2	            1	    2	       2	          0	         1	        1	            2	          2	          2	                   1	     2	    2	   3	        2	          1	         1	    2	       1	               0	       3	            1	     2	                   2	             2	                   2	             2	                 1	         0	     1	      0	                     2	     2	           2	     2	             2	     1	                2
ABCA3          	           3	         2	     2	       2	         3	             3	            2	    2	       1	          0	         3	        2	            3	          2	          2	                   2	     2	    2	   3	        2	          3	         1	    0	       2	               1	       2	            3	     2	                   2	             3	                   2	             1	                 0	         0	     3	      0	                     2	     3	           3	     2	             2	     0	                2
ABCA7          	           3	         3	     3	       3	         1	             2	            2	    3	       3	          0	         2	        3	            3	          3	          3	                   2	     3	    2	   2	        3	          3	         2	    1	       3	               3	       3	            3	     3	                   3	             2	                   2	             3	                 3	         0	     2	      0	                     2	     3	           3	     2	             3	     2	                3
ABCA8          	           3	         0	     0	       0	         0	             2	            0	    3	       0	          0	         0	        0	            0	          0	          0	                   0	     1	    2	   1	        0	          0	         0	    3	       0	               0	       1	            0	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     3	           0	     0	             1	     0	                0
ABCA9          	           3	         2	     3	       3	         3	             3	            3	    3	       3	          0	         3	        3	            3	          3	          3	                   3	     3	    2	   3	        2	          3	         3	    2	       3	               3	       3	            3	     3	                   3	             3	                   2	             3	                 2	         0	     2	      0	                     3	     3	           3	     3	             3	     3	                3
ABCB1          	           3	         0	     0	       0	         0	             3	            0	    1	       0	          0	         0	        0	            0	          2	          0	                   0	     1	    2	   0	        0	          0	         0	    0	       0	               0	       0	            0	     1	                   0	             0	                   0	             1	                 0	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                1
ABCB11         	           2	         0	     0	       1	         1	             0	            0	    0	       0	          0	         0	        0	            0	          0	          0	                   0	     0	    3	   0	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     1	           0	     0	             0	     0	                0
ABCB4          	           2	         0	     2	       1	         0	             1	            1	    2	       2	          0	         1	        0	            1	          2	          0	                   0	     1	    3	   1	        0	          1	         0	    0	       1	               2	       1	            1	     2	                   1	             1	                   0	             2	                 0	         0	     0	      0	                     0	     0	           0	     0	             2	     0	                2
ABCB7          	           2	         0	     2	       2	         1	             3	            1	    3	       2	          0	         0	        2	            2	          2	          1	                   0	     2	    1	   3	        1	          2	         0	    2	       1	               2	       2	            0	     2	                   1	             0	                   0	             2	                 3	         0	     1	      0	                     0	     2	           1	     1	             0	     1	                2
ABCC11         	           2	         1	     2	       3	         1	             2	            2	    2	       3	          0	         2	        2	            2	          3	          2	                   1	     3	    2	   2	        1	          3	         1	    2	       3	               2	       3	            3	     3	                   2	             2	                   1	             1	                 2	         0	     2	      0	                     2	     3	           2	     1	             3	     2	                3
ABCC2          	           0	         0	     0	       1	         0	             2	            0	    1	       1	          0	         0	        0	            0	          2	          0	                   0	     2	    3	   0	        0	          1	         0	    0	       1	               0	       0	            0	     1	                   0	             0	                   0	             1	                 0	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                1
ABCC3          	           3	         0	     1	       3	         1	             1	            1	    3	       2	          0	         0	        1	            3	          3	          2	                   0	     2	    0	   1	        0	          2	         0	    2	       3	               3	       1	            1	     3	                   1	             3	                   2	             2	                 1	         0	     0	      0	                     0	     2	           1	     0	             2	     0	                3
ABCD3          	           3	         1	     2	       3	         3	             3	            2	    3	       3	          0	         3	        2	            3	          3	          3	                   2	     3	    3	   3	        2	          3	         2	    0	       2	               2	       3	            3	     3	                   2	             3	                   2	             3	                 0	         0	     0	      0	                     3	     3	           2	     2	             3	     2	                3
ABCE1          	           2	         3	     3	       2	         3	             3	            2	    3	       3	          0	         2	        3	            3	          3	          2	                   2	     2	    2	   3	        3	          2	         3	    3	       3	               2	       3	            2	     3	                   3	             2	                   0	             3	                 1	         0	     2	      0	                     2	     3	           3	     3	             3	     3	                3
ABCF2          	           2	         2	     3	       2	         2	             2	            1	    2	       2	          0	         1	        2	            1	          2	          2	                   2	     2	    1	   2	        2	          2	         2	    1	       3	               2	       3	            2	     2	                   2	             2	                   1	             2	                 1	         0	     1	      0	                     2	     2	           2	     2	             2	     1	                2
ABCG1          	           2	         1	     1	       2	         2	             1	            2	    2	       2	          0	         1	        2	            2	          2	          1	                   1	     2	    2	   2	        0	          2	         2	    0	       1	               1	       2	            0	     2	                   0	             2	                   1	             2	                 1	         0	     0	      0	                     1	     2	           2	     0	             0	     1	                2
ABCG2          	           2	         0	     0	       0	         0	             3	            0	    2	       2	          0	         0	        0	            0	          0	          2	                   0	     1	    0	   1	        0	          0	         0	    0	       0	               0	       2	            0	     2	                   0	             3	                   1	             2	                 2	         0	     0	      0	                     0	     1	           1	     0	             0	     0	                0
ABHD14A-ACY1   	           0	         0	     0	       0	         0	             0	            0	    1	       1	          0	         0	        0	            0	          0	          0	                   0	     3	    3	   0	        0	          0	         0	    0	       0	               0	       1	            0	     0	                   0	             0	                   0	             1	                 0	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                0
ABHD14B        	           3	         2	     2	       2	         2	             2	            2	    2	       2	          0	         2	        2	            2	          3	          2	                   1	     3	    2	   2	        2	          2	         2	    2	       2	               2	       3	            2	     2	                   3	             2	                   2	             2	                 2	         0	     2	      0	                     2	     2	           3	     3	             2	     2	                2
ABHD18         	           2	         1	     2	       2	         2	             2	            2	    3	       3	          0	         2	        2	            2	          3	          2	                   2	     3	    2	   1	        2	          2	         2	    1	       2	               3	       2	            2	     3	                   2	             2	                   1	             3	                 1	         0	     2	      0	                     2	     2	           2	     2	             2	     1	                3
ABI1           	           2	         3	     3	       3	         3	             3	            3	    3	       3	          0	         3	        3	            2	          3	          2	                   3	     2	    2	   3	        3	          2	         3	    2	       3	               0	       3	            2	     3	                   2	             2	                   1	             3	                 0	         0	     1	      0	                     1	     3	           2	     3	             3	     1	                3
ABL1           	           3	         1	     2	       2	         1	             1	            2	    2	       2	          0	         2	        1	            2	          2	          3	                   1	     2	    2	   2	        1	          2	         1	    1	       1	               1	       2	            1	     2	                   2	             2	                   2	             2	                 1	         0	     2	      0	                     1	     2	           2	     2	             2	     2	                1
ABR            	           2	         0	     1	       2	         1	             3	            1	    2	       3	          0	         3	        1	            2	          3	          2	                   3	     2	    2	   2	        0	          2	         2	    2	       2	               2	       2	            3	     3	                   3	             2	                   1	             3	                 1	         0	     0	      0	                     3	     2	           1	     1	             2	     1	                3
AC131097.4     	           0	         0	     1	       2	         0	             0	            1	    2	       2	          0	         1	        0	            1	          2	          1	                   0	     0	    0	   0	        1	          2	         0	    0	       3	               0	       2	            1	     2	                   1	             1	                   0	             2	                 0	         0	     0	      0	                     0	     1	           0	     0	             1	     0	                1
ACAA1          	           1	         1	     1	       1	         3	             3	            1	    1	       1	          0	         1	        0	            1	          2	          2	                   3	     2	    3	   2	        0	          1	         0	    0	       1	               1	       1	            0	     1	                   0	             1	                   1	             1	                 1	         0	     0	      0	                     2	     1	           1	     0	             2	     0	                1
ACAA2          	           2	         1	     2	       1	         0	             2	            0	    3	       3	          0	         1	        0	            2	          3	          2	                   1	     3	    3	   2	        0	          1	         0	    0	       2	               2	       1	            0	     3	                   2	             2	                   0	             3	                 0	         0	     0	      0	                     2	     3	           2	     1	             0	     0	                3
ACAD8          	           3	         1	     2	       3	         2	             2	            3	    3	       3	          0	         2	        3	            2	          3	          3	                   2	     3	    2	   3	        2	          3	         3	    2	       2	               3	       3	            3	     3	                   3	             3	                   2	             3	                 2	         0	     1	      0	                     2	     2	           2	     3	             3	     3	                3
ACAD9          	           2	         3	     2	       2	         3	             2	            2	    3	       3	          0	         2	        3	            2	          3	          2	                   3	     3	    2	   2	        2	          3	         2	    0	       3	               3	       3	            1	     3	                   2	             3	                   0	             3	                 0	         0	     3	      0	                     2	     2	           2	     3	             2	     2	                3
ACADM          	           3	         2	     2	       3	         1	             1	            1	    3	       3	          0	         3	        1	            2	          3	          3	                   1	     3	    3	   2	        3	          3	         1	    1	       3	               3	       1	            1	     3	                   2	             3	                   2	             3	                 1	         0	     3	      0	                     1	     3	           2	     3	             2	     1	                3
ACADS          	           3	         2	     2	       3	         3	             2	            2	    3	       3	          0	         2	        1	            2	          3	          3	                   2	     3	    3	   2	        1	          3	         1	    3	       2	               2	       3	            1	     3	                   2	             2	                   2	             3	                 3	         0	     1	      0	                     2	     3	           3	     2	             3	     1	                3
ACADVL         	           3	         2	     2	       2	         1	             2	            2	    3	       3	          0	         1	        2	            2	          3	          3	                   2	     2	    2	   3	        1	          2	         2	    1	       2	               3	       2	            2	     2	                   2	             2	                   2	             3	                 1	         0	     1	      0	                     2	     2	           2	     2	             2	     1	                2
ACAP2          	           2	         2	     2	       2	         2	             2	            2	    2	       2	          0	         2	        2	            2	          3	          2	                   2	     2	    2	   2	        2	          2	         2	    1	       2	               1	       2	            2	     2	                   2	             2	                   2	             2	                 2	         0	     2	      0	                     2	     2	           2	     3	             2	     2	                2
ACAT1          	           3	         2	     2	       3	         3	             2	            3	    3	       3	          0	         3	        2	            3	          3	          3	                   3	     3	    3	   3	        2	          3	         2	    2	       3	               3	       3	            2	     3	                   3	             3	                   2	             3	                 1	         0	     1	      0	                     3	     3	           2	     2	             2	     2	                3
ACAT2          	           2	         2	     2	       2	         2	             2	            2	    3	       3	          0	         2	        2	            2	          2	          1	                   2	     2	    2	   2	        2	          2	         2	    3	       1	               2	       2	            3	     3	                   2	             2	                   1	             2	                 1	         0	     1	      0	                     1	     3	           2	     2	             2	     1	                3
ACBD3          	           2	         3	     2	       2	         2	             3	            2	    3	       3	          0	         2	        2	            2	          3	          2	                   3	     2	    1	   2	        2	          2	         1	    1	       3	               0	       3	            3	     2	                   2	             2	                   0	             3	                 2	         0	     0	      0	                     2	     2	           2	     2	             2	     2	                3
ACBD5          	           2	         1	     1	       2	         2	             2	            2	    3	       3	          0	         2	        2	            2	          2	          2	                   2	     3	    3	   2	        1	          2	         2	    0	       1	               2	       1	            2	     3	                   2	             2	                   1	             3	                 1	         0	     1	      0	                     2	     2	           2	     2	             2	     2	                3
ACE            	           0	         0	     0	       0	         0	             0	            0	    1	       3	          0	         3	        0	            3	          0	          0	                   0	     3	    0	   0	        0	          0	         0	    0	       0	               0	       0	            1	     0	                   0	             2	                   0	             3	                 0	         0	     0	      0	                     0	     2	           0	     0	             0	     0	                0
ACE2           	           1	         0	     0	       0	         0	             0	            0	    2	       3	          0	         0	        0	            0	          3	          0	                   0	     3	    0	   0	        0	          0	         0	    0	       0	               0	       0	            0	     2	                   0	             1	                   0	             3	                 0	         0	     0	      0	                     0	     3	           0	     0	             0	     0	                0
ACHE           	           3	         2	     3	       3	         3	             3	            2	    3	       3	          0	         3	        2	            3	          3	          2	                   2	     3	    3	   3	        3	          3	         2	    3	       3	               3	       3	            2	     3	                   3	             3	                   2	             3	                 1	         0	     3	      0	                     3	     3	           3	     3	             3	     0	                3
ACIN1          	           2	         2	     2	       2	         3	             3	            2	    2	       2	          0	         2	        1	            2	          2	          2	                   3	     1	    2	   2	        2	          2	         1	    2	       2	               2	       3	            2	     1	                   1	             2	                   1	             2	                 1	         0	     2	      0	                     3	     2	           2	     2	             2	     1	                3
ACKR1          	           0	         0	     0	       0	         0	             0	            0	    3	       0	          0	         0	        0	            0	          1	          0	                   0	     1	    1	   0	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                0
ACKR2          	           0	         1	     1	       2	         0	             0	            0	    1	       2	          0	         0	        0	            2	          0	          0	                   0	     1	    0	   1	        0	          2	         0	    0	       0	               0	       3	            0	     1	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     1	           1	     0	             0	     0	                0
ACLY           	           2	         1	     1	       2	         2	             1	            1	    2	       1	          0	         1	        0	            1	          1	          1	                   1	     2	    1	   1	        1	          1	         0	    0	       3	               0	       2	            3	     0	                   0	             0	                   0	             2	                 0	         0	     0	      0	                     1	     3	           0	     1	             1	     0	                1
ACMSD          	           0	         0	     0	       0	         0	             0	            0	    0	       1	          0	         0	        0	            0	          0	          0	                   0	     3	    2	   0	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   0	             1	                 0	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                0
ACO1           	           2	         0	     1	       0	         0	             1	            1	    2	       3	          0	         2	        0	            1	          2	          2	                   1	     3	    2	   2	        0	          0	         0	    2	       2	               2	       2	            2	     2	                   1	             1	                   1	             3	                 1	         0	     0	      0	                     2	     2	           2	     0	             2	     0	                2
ACO2           	           3	         3	     3	       0	         3	             3	            3	    3	       3	          0	         3	        3	            3	          3	          3	                   3	     3	    3	   3	        3	          3	         3	    3	       3	               3	       3	            3	     3	                   3	             3	                   2	             3	                 2	         0	     3	      0	                     3	     3	           3	     3	             3	     3	                3
ACOT12         	           2	         1	     2	       2	         2	             2	            2	    2	       2	          0	         2	        1	            2	          2	          2	                   1	     2	    2	   2	        1	          2	         2	    1	       2	               2	       2	            1	     2	                   2	             1	                   2	             2	                 2	         0	     1	      0	                     2	     2	           3	     1	             1	     1	                2
ACOT7          	           0	         0	     0	       2	         3	             2	            1	    3	       2	          0	         1	        1	            1	          0	          0	                   3	     2	    0	   0	        2	          1	         1	    0	       0	               0	       2	            0	     1	                   0	             0	                   0	             1	                 0	         0	     0	      0	                     3	     2	           0	     2	             0	     1	                2
ACOT8          	           3	         1	     2	       0	         3	             2	            2	    3	       3	          0	         3	        2	            2	          3	          2	                   2	     3	    3	   3	        3	          3	         2	    3	       2	               3	       3	            2	     2	                   2	             2	                   2	             3	                 1	         0	     2	      0	                     2	     3	           2	     3	             2	     1	                2
ACOX1          	           3	         2	     1	       2	         2	             2	            2	    3	       3	          0	         2	        2	            2	          2	          2	                   2	     2	    3	   2	        1	          2	         2	    1	       2	               2	       2	            2	     2	                   1	             2	                   1	             3	                 2	         0	     1	      0	                     2	     2	           2	     2	             2	     1	                3
ACOX2          	           2	         1	     1	       2	         2	             2	            2	    2	       2	          0	         2	        2	            2	          2	          2	                   1	     3	    3	   1	        1	          1	         1	    0	       2	               2	       1	            1	     2	                   1	             2	                   3	             2	                 0	         0	     1	      0	                     1	     2	           0	     2	             1	     1	                2
ACP1           	           3	         1	     2	       2	         1	             2	            0	    2	       2	          0	         2	        0	            2	          3	          2	                   2	     2	    2	   2	        1	          2	         0	    1	       2	               1	       2	            1	     2	                   1	             2	                   1	             2	                 0	         0	     0	      0	                     2	     3	           2	     1	             1	     0	                2
ACP5           	           0	         0	     0	       0	         0	             0	            0	    0	       0	          0	         0	        0	            0	          0	          0	                   0	     1	    0	   3	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     1	      0	                     0	     0	           0	     0	             0	     0	                0
ACPP           	           0	         0	     0	       0	         0	             0	            0	    0	       0	          0	         0	        0	            0	          0	          0	                   0	     0	    0	   0	        0	          0	         0	    0	       0	               0	       0	            3	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                0
ACR            	           0	         0	     0	       1	         0	             0	            0	    1	       0	          0	         0	        0	            2	          0	          0	                   0	     1	    0	   0	        0	          1	         0	    0	       0	               0	       0	            0	     1	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     3	           0	     0	             0	     0	                0
ACRBP          	           0	         0	     0	       0	         0	             0	            0	    1	       1	          0	         0	        0	            0	          0	          0	                   0	     0	    0	   0	        0	          0	         0	    0	       0	               1	       0	            0	     1	                   0	             0	                   0	             1	                 0	         0	     0	      0	                     0	     3	           0	     0	             0	     0	                1
ACRV1          	           0	         0	     0	       0	         0	             0	            0	    0	       0	          0	         0	        0	            0	          0	          0	                   0	     0	    0	   0	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     2	           0	     0	             0	     0	                0
ACSBG2         	           0	         0	     0	       0	         0	             0	            1	    0	       0	          0	         0	        0	            1	          0	          0	                   0	     1	    0	   0	        0	          0	         0	    0	       0	               0	       1	            0	     0	                   0	             0	                   1	             0	                 0	         0	     0	      0	                     0	     2	           0	     0	             0	     0	                0
ACSF2          	           3	         0	     0	       1	         0	             1	            1	    3	       3	          0	         2	        1	            0	          3	          2	                   1	     3	    1	   1	        2	          3	         1	    0	       1	               2	       3	            1	     3	                   2	             3	                   0	             3	                 0	         0	     0	      0	                     0	     3	           3	     2	             2	     1	                2
ACSF3          	           2	         2	     2	       2	         1	             2	            3	    2	       2	          0	         2	        2	            2	          2	          2	                   1	     2	    2	   2	        1	          2	         2	    1	       2	               2	       2	            2	     2	                   1	             2	                   2	             2	                 1	         0	     1	      0	                     1	     2	           2	     1	             1	     2	                1
ACSL1          	           3	         1	     2	       2	         0	             1	            2	    2	       2	          0	         1	        1	            1	          2	          3	                   0	     3	    3	   3	        1	          2	         1	    0	       2	               3	       1	            2	     1	                   2	             1	                   3	             2	                 1	         0	     1	      0	                     0	     2	           3	     2	             2	     1	                1
ACSL3          	           3	         3	     2	       3	         2	             2	            2	    2	       3	          0	         3	        2	            2	          3	          2	                   2	     3	    3	   3	        2	          2	         1	    2	       3	               3	       3	            3	     3	                   2	             3	                   3	             3	                 1	         0	     3	      0	                     2	     3	           3	     2	             3	     1	                2
ACSL5          	           1	         0	     0	       1	         0	             0	            1	    3	       3	          0	         3	        0	            2	          2	          0	                   0	     3	    3	   2	        0	          0	         0	    0	       1	               0	       0	            0	     3	                   0	             1	                   0	             3	                 0	         0	     0	      0	                     1	     1	           0	     0	             2	     0	                3
ACSM5          	           3	         2	     2	       1	         2	             3	            0	    2	       1	          0	         2	        2	            1	          2	          2	                   2	     3	    3	   2	        1	          0	         1	    0	       2	               2	       1	            2	     0	                   3	             2	                   2	             1	                 2	         0	     0	      0	                     3	     3	           2	     1	             1	     1	                1
ACSS1          	           1	         2	     0	       2	         2	             2	            0	    1	       2	          0	         0	        0	            2	          2	          3	                   1	     3	    0	   2	        0	          2	         0	    0	       2	               2	       3	            2	     2	                   2	             2	                   2	             3	                 1	         0	     0	      0	                     1	     3	           2	     1	             0	     0	                2
ACTA1          	           0	         0	     2	       0	         0	             0	            0	    0	       0	          0	         0	        0	            0	          0	          3	                   0	     0	    0	   0	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   3	             0	                 3	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                0
ACTA2          	           0	         0	     3	       0	         0	             0	            0	    0	       0	          0	         0	        0	            0	          0	          0	                   0	     0	    0	   0	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   0	             0	                 3	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                0
ACTC1          	           0	         0	     0	       0	         0	             0	            0	    0	       0	          0	         0	        0	            0	          0	          3	                   0	     0	    0	   0	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   2	             0	                 3	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                0
ACTL6A         	           3	         3	     3	       3	         3	             3	            3	    3	       3	          0	         3	        3	            3	          3	          2	                   3	     3	    3	   3	        3	          3	         3	    3	       3	               3	       3	            3	     3	                   3	             2	                   3	             3	                 3	         0	     3	      0	                     3	     3	           3	     3	             3	     3	                3
ACTL7A         	           0	         0	     0	       0	         0	             0	            0	    0	       0	          0	         0	        0	            0	          0	          0	                   0	     0	    0	   0	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     2	           0	     0	             0	     0	                0
ACTL7B         	           0	         0	     0	       0	         0	             0	            0	    0	       0	          0	         0	        0	            0	          0	          0	                   0	     0	    0	   0	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     3	           0	     0	             0	     0	                0
