#GeneName      	AdrenalGland	BoneMarrow	Breast	Bronchus	Cerebellum	CerebralCortex	CervixUterine	Colon	Duodenum	Endometrium	Epididymis	Esophagus	FallopianTube	GallBladder	HeartMuscle	HippocampalFormation	Kidney	Liver	Lung	LymphNode	Nasopharynx	OralMucosa	Ovary	Pancreas	ParathyroidGland	Placenta	ProstateGland	Rectum	SalivaSecretingGland	SeminalVesicle	SkeletalMuscleTissue	SmallIntestine	SmoothMuscleTissue	SoftTissue	Spleen	Stomach	TelencephalicVentricle	Testis	ThyroidGland	Tonsil	UrinaryBladder	Vagina	VermiformAppendix
GPBAR1         	           0	         0	     2	       2	         0	             0	            2	    2	       1	          0	         1	        0	            2	          2	          0	                   0	     1	    2	   2	        0	          2	         0	    0	       1	               0	       2	            1	     2	                   2	             2	                   0	             1	                 0	         0	     0	      0	                     0	     0	           2	     0	             2	     0	                2
GPBP1          	           3	         1	     2	       2	         3	             2	            2	    3	       2	          0	         2	        2	            3	          3	          2	                   2	     2	    2	   1	        2	          2	         2	    0	       3	               2	       2	            2	     3	                   1	             2	                   2	             3	                 2	         0	     1	      0	                     2	     3	           3	     2	             3	     2	                2
GPBP1L1        	           3	         2	     2	       2	         3	             2	            2	    2	       2	          0	         2	        3	            2	          2	          2	                   2	     2	    2	   2	        2	          2	         2	    2	       2	               2	       2	            1	     3	                   2	             2	                   2	             3	                 2	         0	     2	      0	                     2	     2	           3	     2	             2	     2	                1
GPD1           	           2	         1	     2	       2	         2	             2	            1	    2	       3	          0	         2	        2	            2	          2	          2	                   1	     3	    3	   3	        2	          2	         2	    1	       3	               2	       1	            2	     2	                   2	             3	                   3	             3	                 0	         0	     1	      0	                     2	     2	           2	     2	             2	     1	                2
GPD2           	           3	         2	     3	       3	         3	             2	            3	    3	       3	          0	         2	        3	            3	          3	          2	                   3	     3	    2	   3	        2	          3	         3	    1	       3	               3	       3	            3	     3	                   3	             0	                   2	             3	                 1	         0	     2	      0	                     2	     3	           2	     3	             3	     3	                3
GPHN           	           0	         0	     0	       0	         1	             2	            1	    2	       2	          0	         2	        0	            1	          2	          0	                   2	     2	    1	   0	        0	          0	         0	    0	       2	               2	       0	            0	     1	                   2	             1	                   0	             1	                 0	         0	     0	      0	                     2	     0	           1	     0	             1	     0	                2
GPKOW          	           3	         3	     3	       2	         3	             2	            2	    3	       3	          0	         3	        2	            3	          3	          2	                   2	     3	    2	   3	        2	          2	         3	    2	       3	               3	       3	            3	     3	                   2	             3	                   2	             3	                 2	         0	     2	      0	                     2	     3	           2	     3	             3	     2	                3
GPM6B          	           2	         0	     1	       1	         1	             3	            3	    3	       0	          0	         2	        1	            1	          3	          2	                   1	     2	    1	   2	        0	          2	         1	    0	       0	               1	       0	            0	     2	                   0	             3	                   0	             0	                 0	         0	     0	      0	                     0	     2	           2	     2	             0	     1	                1
GPR132         	           3	         2	     1	       3	         2	             2	            3	    3	       3	          0	         3	        2	            3	          3	          2	                   2	     3	    2	   2	        2	          3	         2	    1	       3	               2	       2	            2	     3	                   2	             3	                   2	             3	                 1	         0	     1	      0	                     2	     2	           2	     2	             2	     2	                2
GPR135         	           2	         1	     3	       3	         2	             2	            3	    2	       2	          0	         3	        3	            3	          3	          2	                   2	     3	    2	   2	        2	          2	         2	    3	       2	               0	       3	            2	     2	                   3	             2	                   2	             2	                 3	         0	     2	      0	                     2	     2	           2	     2	             3	     3	                2
